date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:11	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2003%20Oct%202018%2015:31:49%20GMT	http://tavonline.net/html/mat/default/icon-fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?v=4.7.0	D:/FAJRI/tavonline/tavonline.net/html/mat/default/icon-fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.eot	(from http://tavonline.net/html/mat/default/icon-fonts/font-awesome-4.7.0/css/font-awesome.min.css)
11:50:12	26792/26792	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2003%20Oct%202018%2015:30:08%20GMT	http://tavonline.net/html/mat/default/icon-fonts/web-design/Flaticon.eot	D:/FAJRI/tavonline/tavonline.net/html/mat/default/icon-fonts/web-design/Flaticon.eot	(from http://tavonline.net/html/mat/default/icon-fonts/web-design/flaticon.css)
11:50:14	16780/16780	---M--	200	added ('OK')	font/woff	date:Wed,%2003%20Oct%202018%2015:30:06%20GMT	http://tavonline.net/html/mat/default/icon-fonts/web-design/Flaticon.woff	D:/FAJRI/tavonline/tavonline.net/html/mat/default/icon-fonts/web-design/Flaticon.woff	(from http://tavonline.net/html/mat/default/icon-fonts/web-design/flaticon.css)
11:50:14	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2003%20Oct%202018%2015:31:49%20GMT	http://tavonline.net/html/mat/default/icon-fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?	D:/FAJRI/tavonline/tavonline.net/html/mat/default/icon-fonts/font-awesome-4.7.0/fonts/fontawesome-webfontd41d.eot	(from http://tavonline.net/html/mat/default/icon-fonts/font-awesome-4.7.0/css/font-awesome.min.css)
11:50:16	226377/226377	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2003%20Oct%202018%2015:30:21%20GMT	http://tavonline.net/html/mat/default/icon-fonts/web-design/Flaticon.svg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/icon-fonts/web-design/Flaticon.svg	(from http://tavonline.net/html/mat/default/icon-fonts/web-design/flaticon.css)
11:50:17	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Dec%202018%2004:50:16%20GMT	http://tavonline.net/html/mat/default/portfolio-detail/images/portfolio-content/image-1.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/portfolio-detail/images/portfolio-content/image-1.jpg	(from http://tavonline.net/html/mat/default/portfolio-detail/work-01.html)
11:50:18	26792/26792	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2003%20Oct%202018%2015:30:08%20GMT	http://tavonline.net/html/mat/default/icon-fonts/web-design/Flaticon.eot?	D:/FAJRI/tavonline/tavonline.net/html/mat/default/icon-fonts/web-design/Flaticond41d.eot	(from http://tavonline.net/html/mat/default/icon-fonts/web-design/flaticon.css)
11:50:18	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Dec%202018%2004:50:18%20GMT	http://tavonline.net/html/mat/default/portfolio-detail/images/portfolio-content/image-2.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/portfolio-detail/images/portfolio-content/image-2.jpg	(from http://tavonline.net/html/mat/default/portfolio-detail/work-01.html)
11:50:18	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Dec%202018%2004:50:18%20GMT	http://tavonline.net/html/mat/default/portfolio-detail/images/portfolio-content/image-3.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/portfolio-detail/images/portfolio-content/image-3.jpg	(from http://tavonline.net/html/mat/default/portfolio-detail/work-02.html)
11:50:19	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Dec%202018%2004:50:19%20GMT	http://tavonline.net/html/mat/default/portfolio-detail/images/portfolio-content/image-4.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/portfolio-detail/images/portfolio-content/image-4.jpg	(from http://tavonline.net/html/mat/default/portfolio-detail/work-02.html)
